稗田阿一,https://hentaiverse.org/isekai/equip/387818/4f1237283a,,
sharmy,https://hentaiverse.org/isekai/equip/474197/086bf3e548,,
e-Stark,https://hentaiverse.org/isekai/equip/480051/bad85a6ff8,,
e-Stark,https://hentaiverse.org/isekai/equip/421700/ec862949cf,,
e-Stark,https://hentaiverse.org/isekai/equip/432673/ae83a6f9df,,
e-Stark,https://hentaiverse.org/isekai/equip/387190/5bab586f2f,,
e-Stark,https://hentaiverse.org/isekai/equip/387234/80b85b2879,,
e-Stark,https://hentaiverse.org/isekai/equip/309250/f51cb67255,,
e-Stark,https://hentaiverse.org/isekai/equip/342996/93aa768ea6,,
e-Stark,https://hentaiverse.org/isekai/equip/339744/bdedd0c88d,,
e-Stark,https://hentaiverse.org/isekai/equip/369216/9333d42464,,
e-Stark,https://hentaiverse.org/isekai/equip/332294/e661818cd7,,
e-Stark,10 x Flower Vase,,
e-Stark,10 x Bubble-Gum,,1
e-Stark,10 x Amnesia Shard,,1
e-Stark,10 x Repurposed Actuator,,1
e-Stark,300 x Mid-Grade Metals,,1
e-Stark,100 x High-Grade Metals,,1
sharmy,https://hentaiverse.org/isekai/equip/483377/e7c17ce4e1,,
chjj30,https://hentaiverse.org/isekai/equip/54201/e037e5bb3e,,
chjj30,https://hentaiverse.org/isekai/equip/487635/4732df50cb,,
Bolide,https://hentaiverse.org/isekai/equip/390566/b803a66ea7,,
稗田阿一,https://hentaiverse.org/isekai/equip/422228/046b68ab66,,
稗田阿一,https://hentaiverse.org/isekai/equip/426491/ed8fb3c714,,
稗田阿一,https://hentaiverse.org/isekai/equip/450715/8c9b1c1f41,,
稗田阿一,https://hentaiverse.org/isekai/equip/439881/e964a16790,,
稗田阿一,https://hentaiverse.org/isekai/equip/376701/cb11a4d024,,
稗田阿一,https://hentaiverse.org/isekai/equip/336993/3d726fe6c5,,
稗田阿一,https://hentaiverse.org/isekai/equip/450769/8613cad368,,
稗田阿一,https://hentaiverse.org/isekai/equip/391162/6e76ead506,,
稗田阿一,https://hentaiverse.org/isekai/equip/52147/0b18d70230,,
稗田阿一,https://hentaiverse.org/isekai/equip/498287/cdad4c0de2,,
chjj30,https://hentaiverse.org/isekai/equip/256442/28d482c90c,,
chjj30,https://hentaiverse.org/isekai/equip/502797/295421d466,,
chjj30,150 x Scroll of Protection,,1
chjj30,50 x Scroll of the Avatar ,,1
chjj30,100 x High-Grade Cloth ,,1
chjj30,200 x Mid-Grade Metals,,1
chjj30,50 x High-Grade Leather,,1
chjj30,25 x Shade Fragment,,1
chjj30,45 x Repurposed Actuator,,1
chjj30,50 x Aether Shard,,1
chjj30,https://hentaiverse.org/isekai/equip/411256/213bee3888,,
chjj30,25 x Defense Matrix Modulator,,1
sharmy,https://hentaiverse.org/isekai/equip/507136/0d6e2321b6,,
sharmy,https://hentaiverse.org/isekai/equip/507168/e323455b2f,,
독누이,https://hentaiverse.org/isekai/equip/474005/55d0fbc104,,
sharmy,25 x High-Grade Metals,,1
Grandmasters,https://hentaiverse.org/isekai/equip/383161/79b973592d,,
Grandmasters,https://hentaiverse.org/isekai/equip/453133/56c6420d64,,
Grandmasters,https://hentaiverse.org/isekai/equip/243866/719d0f3ae0,,
Grandmasters,https://hentaiverse.org/isekai/equip/287992/a7691b849c,,
Grandmasters,https://hentaiverse.org/isekai/equip/299539/b032864de9,,
Grandmasters,https://hentaiverse.org/isekai/equip/18572/24c75df3db,,
Grandmasters,https://hentaiverse.org/isekai/equip/305868/b46206c8b0,,
Grandmasters,https://hentaiverse.org/isekai/equip/83982/9703c6bcd8,,
Grandmasters,https://hentaiverse.org/isekai/equip/294437/7eb8bfa7e4,,
Grandmasters,https://hentaiverse.org/isekai/equip/78110/b6aecdc6f5,,
Grandmasters,https://hentaiverse.org/isekai/equip/434488/3fd984fe8f,,
Grandmasters,https://hentaiverse.org/isekai/equip/440394/2904d1b22c,,
Grandmasters,https://hentaiverse.org/isekai/equip/348863/7a3415512d,,
Grandmasters,https://hentaiverse.org/isekai/equip/216704/6413747d1e,,
Grandmasters,https://hentaiverse.org/isekai/equip/433613/a3a4c88f6e,,
Grandmasters,https://hentaiverse.org/isekai/equip/434220/a217cfbdb3,,
Grandmasters,https://hentaiverse.org/isekai/equip/449422/e70ce6d25a,,
Grandmasters,https://hentaiverse.org/isekai/equip/302967/3b61836f65,,
Grandmasters,https://hentaiverse.org/isekai/equip/441258/9c267433c1,,
Grandmasters,https://hentaiverse.org/isekai/equip/338498/6da7dc82b3,,
Grandmasters,https://hentaiverse.org/isekai/equip/53342/a7f75789a9,,
Grandmasters,50 x Crystallized Phazon,,1
Scremaz,https://hentaiverse.org/isekai/equip/282298/ccaf0d016c,,
